variable,dummyVariable,typeEnd,databaseStart,variableStart,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,Func::SurveyCycle.fun,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2001_p,10,cchs2001_p,2001 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2003_p,10,cchs2003_p,2003 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2005_p,10,cchs2005_p,2005 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2007_2008_p,10,cchs2007_2008_p,2007 to 2008 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2009_2010_p,10,cchs2009_2010_p,2009 to 2010 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2010_p,10,cchs2010_p,2010 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2011_2012_p,10,cchs2011_2012_p,2011 to 2012 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2012_p,10,cchs2012_p,2012 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2013_2014_p,10,cchs2013_2014_p,2013 to 2014 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
