Ontario_role,Ontario_variable,cchsflow_included,variable,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,role,transformationType
,,yes,SMK_005,Type of smoker presently,Type of smoker presently,Health behaviour,Smoking,Categorical,N/A,,"cchs2015_2016_p, cchs2017_2018_p",[SMK_005],,
sensitivity testing,"smk_01a, smkc_01a, smke_01a",yes,SMK_01A,s100,"In lifetime, smoked 100 or more cigarettes",Health behaviour,Smoking,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2001_i::SMKA_01A, cchs2003_i::SMKC_01A, cchs2005_i::SMKE_01A, cchs2015_2016_i::SMK_020, cchs2017_2018_i::SMK_020, [SMK_01A]",,
required,smkc_01b,no,SMK_01B,,Ever smoked whole cigarette,,,,,,,,,
,,yes,SMK_030,Smoked daily - lifetime (occasional/former smoker),Smoked daily - lifetime (occasional/former smoker),Health behaviour,Smoking,Categorical,N/A,,"cchs2015_2016_p, cchs2017_2018_p",[SMK_030],,
,,yes,SMK_05B,cigdayo,# of cigarettes smoked daily - occasional smoker,Health behaviour,Smoking,Continuous,cigarettes,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_05B, cchs2003_p::SMKC_05B, cchs2005_p::SMKE_05B, cchs2015_2016_p::SMK_050, cchs2017_2018_p::SMK_050, [SMK_05B], cchs2001_1::SMKA_05B, cchs2003_i::SMKC_05B, cchs2005_i::SMKE_05B, cchs2015_2016_i::SMK_050, cchs2017_2018_i::SMK_050, [SMK_05B]",,
,,yes,SMK_05C,Number of days - smoked 1 cigarette or more (occ. smoker),"In the past month, on how many days have you smoked 1 or more cigarettes?",Health behaviour,Smoking,Continuous,days,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_05C, cchs2003_p::SMKC_05C, cchs2005_p::SMKE_05C, cchs2015_2016_p::SMK_055, cchs2017_2018_p::SMK_055, [SMK_05C], cchs2001_i::SMKA_05C, cchs2003_i::SMKC_05C, cchs2005_i::SMKE_05C, cchs2015_2016_i::SMK_055, cchs2017_2018_i::SMK_055, [SMK_05C]",,
,,yes,SMK_05D,evd,Ever smoked cigarettes daily - occasional smoker,Health behaviour,Smoking,Categorical,N/A,,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, cchs2015_2016_p::SMK_030, cchs2017_2018_p::SMK_030, [SMK_05D]",,
,,yes,SMK_06A_A,stpn,When did you stop smoking daily - never daily,Health behaviour,Smoking,Categorical,Years,,cchs2001_p,cchs2001_p::SMKA_06A,,
,,yes,SMK_06A_B,stpn,When did you stop smoking daily - occasional,Health behaviour,Smoking,Categorical,Years,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::SMKC_06A, cchs2005_p::SMKE_06A, cchs2015_2016_p::SMK_100, cchs2017_2018_p::SMK_100, [SMK_06A]",,
required,smkc_06a-c,yes,SMK_06A_cont,stpn,When did you stop smoking daily - occasional,Health behaviour,Smoking,Continuous,Years,,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::SMKA_06A, cchs2003_p::SMKC_06A, cchs2005_p::SMKE_06A, cchs2015_2016_p::SMK_100, cchs2017_2018_p::SMK_100, [SMK_06A]",,
